,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_Qwen2,word_count,similarity
0,acidity,'The state of being acid that is of being capable of transferring a hydrogen ion in solution.','the state of having a bitter sharp taste or of containing acid',17,12,something tastes sour or has acid in it,8,0.7383445
1,actinium,'A radioactive element of the actinide series occurring as a decay product of uranium. It is used as an alpha particle source and in neutron production.','a chemical element. Actinium is a radioactive metal.',26,8,Actinium is a metal. It is radioactive.,7,0.8047322
2,adhesive,'Substance used for sticking objects together.','a substance that you use to make things stick together',6,10,It's like a glue that sticks things together.,8,0.7931174
3,advice,Official notice opinion counsel or recommendation that is optional or at the receiver's discretion.,'an opinion or a suggestion about what somebody should do in a particular situation',14,14,A thought or idea on what to do in a certain time.,12,0.81935734
4,aeration,'Exposition to the action of air.','the process of making it possible for air to become mixed with soil water etc.',6,15,It's how air mixes with water in the soil.,9,0.7922051
5,agriculture,'The production of plants and animals useful to man involving soil cultivation and the breeding and management of crops and livestock.','the science or practice of farming',21,6,the way people grow plants and take care of animals for food,12,0.65306234
6,agrochemical,'Any substance or mixture of substances used or intended to be used for preventing destroying repelling attracting inhibiting or controlling any insects rodents birds nematodes bacteria fungi weeds or other forms of plant animal or microbial life regarded as pests.','any chemical used in farming especially for killing insects or for making plants grow better',40,15,a farming chemical that helps kill bugs or makes plants grow well,12,0.8543372
7,agroforestry,'The interplanting of farm crops and trees especially leguminous species. In semiarid regions and on denuded hillsides agroforestry helps control erosion and restores soil fertility as well as supplying valuable food and commodities at the same time.','farming that includes growing trees to produce wood',37,8,Growing trees on a farm to get wood.,8,0.7634368
8,aircraft,'A vehicle designed to be supported by the air either by the dynamic action of the air upon the surfaces of the structure or object or by its own buoyancy.','any vehicle that can fly and carry goods or passengers',30,10,Any flying thing that can take stuff or people.,9,0.73503685
9,algicide,'Any substance or chemical applied to kill or control algal growth.','a substance that kills algae',11,5,a thing that makes algae go away,7,0.80147743
10,allergen,'Any antigen such as pollen a drug or food that induces an allergic state in humans or animals.','a substance that causes an allergy',18,6,a thing that makes you sneeze or get itchy,9,0.7111852
11,allergy,'A condition of abnormal sensitivity in certain individuals to contact with substances such as proteins pollens bacteria and certain foods. This contact may result in exaggerated physiologic responses such as hay fever asthma and in severe enough situations anaphylactic shock.','a medical condition that causes you to react badly or feel ill when you eat or touch a particular substance',40,20,A sickness that makes you feel bad or get sick when you eat or touch something specific.,17,0.8497845
12,alloy,'Any of a large number of substances having metallic properties and consisting of two or more elements; with few exceptions the components are usually metallic elements.','a metal that is formed by mixing two types of metal together or by mixing metal with another substance',26,19,a mix of two metals or a metal with something else,11,0.84091437
13,alumina,'A natural or synthetic oxide of aluminum widely distributed in nature often found as a constituent part of clays feldspars micas and other minerals and as a major component of bauxite.','a white substance found in many types of rock especially clay',31,11,"a white stuff in lots of rocks, like clay",9,0.702736
14,alveolus,'A tiny thin-walled capillary-rich sac in the lungs where the exchange of oxygen and carbon dioxide takes place.','one of the many small spaces in each lung where gases can pass into or out of the blood',18,19,a tiny spot in the lungs where air can go in or out of the blood,16,0.8575587
15,ammonia,'A colorless gaseous alkaline compound that is very soluble in water has a characteristic pungent odour is lighter than air and is formed as a result of the decomposition of most nitrogenous organic material.','a gas with a strong smell; a clear liquid containing ammonia used as a cleaning substance',34,16,"A smelly air; a see-through water with soap in it, good for cleaning.",13,0.73784006
16,ammonium,'A positively charged polyatomic cation of the chemical formula NH4+ formed by protonation of ammonia (NH3).','an ion made from ammonia containing nitrogen and hydrogen together with another element',16,13,"a little thing made from a plant part with two other pieces' 

(Note: The original sentence is very complex and contains scientific terms not included in the prioritize word list for kids. The simplification may not accurately convey the original meaning due to the limitations of the word list.)",49,0.6117841
17,amphibian,'A class of vertebrate animals characterized by a moist glandular skin gills at some stage of development and no amnion during the embryonic stage.','any animal that can live both on land and in water. Amphibians have cold blood and skin without scales. Frogs toads and newts are all amphibians.',24,26,"Amphibians are animals that can live on land and in water. They have cold blood and no scales on their skin. Frogs, toads, and newts are some amphibians.",28,0.90353477
18,angling,'The art or sport of catching fish with a rod and line and a baited hook or other lure such as a fly.','the art or sport of catching fish with a fishing rod',23,11,Fishing is a fun activity where you use a special stick called a fishing rod to catch fish.,18,0.7365162
19,anion,'An ion that is negatively charged.','an ion with a negative electrical charge',6,7,a little thing with a negative charge,7,0.7711234
20,antagonism,'The situation in which two chemicals upon interaction interfere in such a way that the action of one partially or completely inhibits the effects of the other.','feelings of opposition and hate',27,5,feelings of not liking and being mad,7,0.73684704
21,antibiotic,'A chemical substance produced by microorganisms and synthetically that has the capacity to inhibit the growth of and even to destroy bacteria and other microorganisms.','a substance for example penicillin that can destroy or prevent the growth of bacteria and cure infections',25,17,"A thing, like penicillin, that stops bad tiny germs from growing and helps when you're sick.",16,0.80401194
22,antibody,'A complex protein that is produced in response to the introduction of a specific antigen into an animal. Antibodies belong to a class of proteins called immunoglobins which are formed by plasma cells in the blood as a defence mechanism against invasion by parasites notably bacteria and viruses either by killing them or rendering them harmless.','a substance that the body produces in the blood to fight disease or as a reaction when certain substances are put into the body',56,24,a thing the body makes in the blood to fight ickies or when stuff is put in the body,19,0.83486503
23,apiculture,'The agricultural practice of intentional maintenance of honey bee colonies.','the activity of owning and taking care of bees',10,9,taking care of bees,4,0.7065012
24,aquaculture,'The cultivation and harvest of freshwater or marine animals and plants in ponds tanks cages or on protected beds.','the practice of growing plants in water or farming fish for food',19,12,growing plants in water or raising fish for food,9,0.83465403
25,aquifer,'Layers of rock sand or gravel that can absorb water and allow it to flow.','a layer of rock or soil that can take in and hold water',15,13,A layer of rock or dirt that can soak up and keep water.,13,0.8629072
26,arboriculture,'The planting and care of woody plants especially trees.','the study or practice of growing trees and shrubs',9,9,learning about or taking care of trees and little plants,10,0.71158147
27,archaeology,'The scientific study of the material remains of the cultures of historical or prehistorical peoples.','the study of cultures of the past and of periods of history by examining the parts of buildings and objects found in the ground',15,24,Learning about old times and history by looking at pieces from buildings and things found under the ground.,18,0.8064712
28,arsenic,'A toxic metalloid element with symbol As and atomic number 33 existing in several allotropic forms that occurs principally in realgar and orpiment and as the free element. It is used in semiconductors lead-based alloys and high temperature brasses.','a chemical element. Arsenic is a grey metalloid (= has properties of both metals and other solid substances) and is very poisonous especially in its compound forms.',39,27,"Arsenic is a kind of grey stuff. It acts like a mix of metals and other solids. It's really, really bad for you, especially when it's mixed with other things.",30,0.82683873
29,asbestos,'Generic name for a group of fibrous mineral silicates.','a soft grey mineral that does not burn and can be woven into material used especially in the past in building as a protection against fire or to prevent heat loss. Asbestos is dangerous if you breathe it in.',9,39,"Asbestos is a soft, grey rock. It doesn't burn and can be made into fabric. People used it in houses long ago to stop fires or keep warmth. But, it's bad if you breathe it in.",36,0.8994564
30,astronomy,'The science concerned with celestial bodies and the observation and interpretation of the radiation received in the vicinity of the earth from the component parts of the universe.','the scientific study of the sun moon stars planets etc.',28,10,"the study of stars, moon, sun, and planets.",8,0.8256748
31,bactericide,'An agent that destroys bacteria.','a substance which is used to kill bacteria',5,8,a thing that helps to kill tiny germs,8,0.776602
32,bacteriology,'The science and study of bacteria.','the scientific study of bacteria',6,5,the learning about tiny living things,6,0.6924276
33,banking,Transactional business between any bank and that bank's clients or customers.,'the business activity of banks',11,5,banks doing their work,4,0.67706037
34,barium,'A soft silvery-white metallic element of the alkaline earth group. It has the symbol Ba and atomic number 56. It is used in bearing alloys and compounds are used as pigments.','a chemical element. Barium is a soft silver-white metal',31,9,"Barium is a soft, silver-white metal.",6,0.8482652
35,beetle,'Any insect of the order Coleoptera having biting mouthparts and forewings modified to form shell-like protective elytra.','an insect often large and black with a hard case on its back covering its wings. There are several types of beetle.',17,22,A bug is sometimes big and black. It has a tough shell on its back. This shell is over its wings. We see many kinds of beetles.,27,0.89460635
36,benzene,'A colorless liquid flammable aromatic hydrocarbon used to manufacture styrene and phenol. Also known as benzol.','a clear liquid obtained from petroleum and coal tar used in making plastics and many chemical products',16,17,A special water-like thing we get from dirt and black sticky stuff. We use it to make toys and lots of other stuff.,23,0.713565
37,beryllium,'A corrosion-resistant toxic silvery-white metallic element that occurs chiefly in beryl and is used mainly in x-ray windows and in the manufacture of alloys. Symbol: Be atomic number: 4.','a chemical element. Beryllium is a hard grey metal found mainly in the mineral beryl.',29,15,"Beryllium is a strong, grey metal. We mostly find it in a rock called beryl.",15,0.86051804
38,beverage,'Any one of various liquids for drinking.','any type of drink except water',7,6,any drink but not water,5,0.76961124
39,bicycle,'A vehicle with two wheels in tandem pedals connected to the rear wheel by a chain handlebars for steering and a saddlelike seat.','a road vehicle with two wheels that you ride by pushing the pedals with your feet',23,16,A small car with two wheels that you move with your feet on the pedals.,15,0.9036931
40,biodiversity,'Number and variety of living organisms; includes genetic diversity species diversity and ecological diversity.','the existence of a large number of different kinds of animals and plants which make a balanced environment',14,18,Many types of animals and plants live together in a balance.,11,0.8112564
