"train/global_step","./falcon_qwen_results_packing - _step","./falcon_qwen_results_packing - _step__MIN","./falcon_qwen_results_packing - _step__MAX","./falcon_qwen_results_packing - eval/loss","./falcon_qwen_results_packing - eval/loss__MIN","./falcon_qwen_results_packing - eval/loss__MAX"
"50","1","1","1","3.5195953845977783","3.5195953845977783","3.5195953845977783"
"100","3","3","3","3.006052255630493","3.006052255630493","3.006052255630493"
"150","5","5","5","2.351778745651245","2.351778745651245","2.351778745651245"
"200","7","7","7","1.7976014614105225","1.7976014614105225","1.7976014614105225"
"250","9","9","9","1.6608552932739258","1.6608552932739258","1.6608552932739258"
"300","11","11","11","1.6168581247329712","1.6168581247329712","1.6168581247329712"
"350","13","13","13","1.5908962488174438","1.5908962488174438","1.5908962488174438"
"400","15","15","15","1.5651180744171143","1.5651180744171143","1.5651180744171143"
"450","17","17","17","1.5423555374145508","1.5423555374145508","1.5423555374145508"
"500","19","19","19","1.5210134983062744","1.5210134983062744","1.5210134983062744"
"550","21","21","21","1.4968293905258179","1.4968293905258179","1.4968293905258179"
"600","23","23","23","1.4693057537078857","1.4693057537078857","1.4693057537078857"
"650","25","25","25","1.454979658126831","1.454979658126831","1.454979658126831"
"700","27","27","27","1.449386477470398","1.449386477470398","1.449386477470398"
"750","29","29","29","1.4428869485855103","1.4428869485855103","1.4428869485855103"
"800","31","31","31","1.440377950668335","1.440377950668335","1.440377950668335"
"850","33","33","33","1.435214877128601","1.435214877128601","1.435214877128601"
"900","35","35","35","1.4336767196655273","1.4336767196655273","1.4336767196655273"
"950","37","37","37","1.4308849573135376","1.4308849573135376","1.4308849573135376"
"1000","39","39","39","1.4275703430175781","1.4275703430175781","1.4275703430175781"
"1050","41","41","41","1.4242525100708008","1.4242525100708008","1.4242525100708008"
"1100","43","43","43","1.4231488704681396","1.4231488704681396","1.4231488704681396"
"1150","45","45","45","1.4207265377044678","1.4207265377044678","1.4207265377044678"
"1200","47","47","47","1.4196476936340332","1.4196476936340332","1.4196476936340332"
"1250","49","49","49","1.4179850816726685","1.4179850816726685","1.4179850816726685"
"1300","51","51","51","1.4152648448944092","1.4152648448944092","1.4152648448944092"
"1350","53","53","53","1.4125473499298096","1.4125473499298096","1.4125473499298096"
"1400","55","55","55","1.411776065826416","1.411776065826416","1.411776065826416"
"1450","57","57","57","1.411250114440918","1.411250114440918","1.411250114440918"
"1500","59","59","59","1.4097753763198853","1.4097753763198853","1.4097753763198853"
"1550","61","61","61","1.4085006713867188","1.4085006713867188","1.4085006713867188"
"1600","63","63","63","1.406516432762146","1.406516432762146","1.406516432762146"
"1650","65","65","65","1.4078296422958374","1.4078296422958374","1.4078296422958374"
"1700","67","67","67","1.4067853689193726","1.4067853689193726","1.4067853689193726"
"1750","69","69","69","1.404170274734497","1.404170274734497","1.404170274734497"
"1800","71","71","71","1.4053658246994019","1.4053658246994019","1.4053658246994019"
"1850","73","73","73","1.4051460027694702","1.4051460027694702","1.4051460027694702"
"1900","75","75","75","1.4027074575424194","1.4027074575424194","1.4027074575424194"
