"train/global_step","./llama_gpt_results_packing - _step","./llama_gpt_results_packing - _step__MIN","./llama_gpt_results_packing - _step__MAX","./llama_gpt_results_packing - eval/loss","./llama_gpt_results_packing - eval/loss__MIN","./llama_gpt_results_packing - eval/loss__MAX"
"50","1","1","1","2.3693244457244873","2.3693244457244873","2.3693244457244873"
"100","3","3","3","2.207153081893921","2.207153081893921","2.207153081893921"
"150","5","5","5","2.1510443687438965","2.1510443687438965","2.1510443687438965"
"200","7","7","7","2.100297689437866","2.100297689437866","2.100297689437866"
"250","9","9","9","1.9932864904403687","1.9932864904403687","1.9932864904403687"
"300","11","11","11","1.8182364702224731","1.8182364702224731","1.8182364702224731"
"350","13","13","13","1.8052682876586914","1.8052682876586914","1.8052682876586914"
"400","15","15","15","1.7906032800674438","1.7906032800674438","1.7906032800674438"
"450","17","17","17","1.7808749675750732","1.7808749675750732","1.7808749675750732"
"500","19","19","19","1.7764520645141602","1.7764520645141602","1.7764520645141602"
"550","21","21","21","1.7719924449920654","1.7719924449920654","1.7719924449920654"
"600","23","23","23","1.7706177234649658","1.7706177234649658","1.7706177234649658"
"650","25","25","25","1.7641997337341309","1.7641997337341309","1.7641997337341309"
"700","27","27","27","1.7618080377578735","1.7618080377578735","1.7618080377578735"
"750","29","29","29","1.7600139379501343","1.7600139379501343","1.7600139379501343"
"800","31","31","31","1.7537261247634888","1.7537261247634888","1.7537261247634888"
"850","33","33","33","1.7472407817840576","1.7472407817840576","1.7472407817840576"
"900","35","35","35","1.755592942237854","1.755592942237854","1.755592942237854"
"950","37","37","37","1.7480041980743408","1.7480041980743408","1.7480041980743408"
"1000","39","39","39","1.7483466863632202","1.7483466863632202","1.7483466863632202"
"1050","41","41","41","1.7492091655731201","1.7492091655731201","1.7492091655731201"
"1100","43","43","43","1.7456928491592407","1.7456928491592407","1.7456928491592407"
"1150","45","45","45","1.745044469833374","1.745044469833374","1.745044469833374"
"1200","47","47","47","1.7391420602798462","1.7391420602798462","1.7391420602798462"
"1250","49","49","49","1.738202691078186","1.738202691078186","1.738202691078186"
"1300","51","51","51","1.741392731666565","1.741392731666565","1.741392731666565"
"1350","53","53","53","1.7428221702575684","1.7428221702575684","1.7428221702575684"
"1400","55","55","55","1.7402926683425903","1.7402926683425903","1.7402926683425903"
"1450","57","57","57","1.737113356590271","1.737113356590271","1.737113356590271"
"1500","59","59","59","1.7357124090194702","1.7357124090194702","1.7357124090194702"
"1550","61","61","61","1.7367355823516846","1.7367355823516846","1.7367355823516846"
"1600","63","63","63","1.735176682472229","1.735176682472229","1.735176682472229"
"1650","65","65","65","1.7341358661651611","1.7341358661651611","1.7341358661651611"
"1700","67","67","67","1.732473373413086","1.732473373413086","1.732473373413086"
"1750","69","69","69","1.7373050451278687","1.7373050451278687","1.7373050451278687"
"1800","71","71","71","1.7343738079071045","1.7343738079071045","1.7343738079071045"
