"train/global_step","./llama_results_packing - _step","./llama_results_packing - _step__MIN","./llama_results_packing - _step__MAX","./llama_results_packing - eval/loss","./llama_results_packing - eval/loss__MIN","./llama_results_packing - eval/loss__MAX"
"50","1","1","1","2.2595367431640625","2.2595367431640625","2.2595367431640625"
"100","3","3","3","2.10835862159729","2.10835862159729","2.10835862159729"
"150","5","5","5","2.0716772079467773","2.0716772079467773","2.0716772079467773"
"200","7","7","7","2.0453076362609863","2.0453076362609863","2.0453076362609863"
"250","9","9","9","1.99113929271698","1.99113929271698","1.99113929271698"
"300","11","11","11","1.8978931903839111","1.8978931903839111","1.8978931903839111"
"350","13","13","13","1.72917640209198","1.72917640209198","1.72917640209198"
"400","15","15","15","1.7253005504608154","1.7253005504608154","1.7253005504608154"
"450","17","17","17","1.7044227123260498","1.7044227123260498","1.7044227123260498"
"500","19","19","19","1.6972488164901733","1.6972488164901733","1.6972488164901733"
"550","21","21","21","1.7003341913223267","1.7003341913223267","1.7003341913223267"
"600","23","23","23","1.6900403499603271","1.6900403499603271","1.6900403499603271"
"650","25","25","25","1.688256859779358","1.688256859779358","1.688256859779358"
"700","27","27","27","1.6889575719833374","1.6889575719833374","1.6889575719833374"
"750","29","29","29","1.6850186586380005","1.6850186586380005","1.6850186586380005"
"800","31","31","31","1.6802200078964233","1.6802200078964233","1.6802200078964233"
"850","33","33","33","1.6831085681915283","1.6831085681915283","1.6831085681915283"
"900","35","35","35","1.6811984777450562","1.6811984777450562","1.6811984777450562"
"950","37","37","37","1.677526831626892","1.677526831626892","1.677526831626892"
"1000","39","39","39","1.6754242181777954","1.6754242181777954","1.6754242181777954"
"1050","41","41","41","1.6737126111984253","1.6737126111984253","1.6737126111984253"
"1100","43","43","43","1.6758131980895996","1.6758131980895996","1.6758131980895996"
"1150","45","45","45","1.6688615083694458","1.6688615083694458","1.6688615083694458"
"1200","47","47","47","1.6705876588821411","1.6705876588821411","1.6705876588821411"
"1250","49","49","49","1.6718131303787231","1.6718131303787231","1.6718131303787231"
"1300","51","51","51","1.679249882698059","1.679249882698059","1.679249882698059"
"1350","53","53","53","1.6765960454940796","1.6765960454940796","1.6765960454940796"
"1400","55","55","55","1.6810857057571411","1.6810857057571411","1.6810857057571411"
"1450","57","57","57","1.6775190830230713","1.6775190830230713","1.6775190830230713"
"1500","59","59","59","1.6791956424713135","1.6791956424713135","1.6791956424713135"
"1550","61","61","61","1.67029869556427","1.67029869556427","1.67029869556427"
"1600","63","63","63","1.6754884719848633","1.6754884719848633","1.6754884719848633"
"1650","65","65","65","1.6708250045776367","1.6708250045776367","1.6708250045776367"
"1700","67","67","67","1.6667364835739136","1.6667364835739136","1.6667364835739136"
"1750","69","69","69","1.6631031036376953","1.6631031036376953","1.6631031036376953"
"1800","71","71","71","1.6589878797531128","1.6589878797531128","1.6589878797531128"
"1850","73","73","73","1.6608061790466309","1.6608061790466309","1.6608061790466309"
"1900","75","75","75","1.6646298170089722","1.6646298170089722","1.6646298170089722"
"1950","77","77","77","1.665489673614502","1.665489673614502","1.665489673614502"
"2000","79","79","79","1.6619635820388794","1.6619635820388794","1.6619635820388794"
"2050","81","81","81","1.6613696813583374","1.6613696813583374","1.6613696813583374"
"2100","83","83","83","1.6643259525299072","1.6643259525299072","1.6643259525299072"
"2150","85","85","85","1.6610480546951294","1.6610480546951294","1.6610480546951294"
"2200","87","87","87","1.6612250804901123","1.6612250804901123","1.6612250804901123"
"2250","89","89","89","1.6614868640899658","1.6614868640899658","1.6614868640899658"
"2300","91","91","91","1.6615947484970093","1.6615947484970093","1.6615947484970093"
"2350","93","93","93","1.6627471446990967","1.6627471446990967","1.6627471446990967"
"2400","95","95","95","1.6609355211257935","1.6609355211257935","1.6609355211257935"
"2450","97","97","97","1.6596225500106812","1.6596225500106812","1.6596225500106812"
"2500","99","99","99","1.6608856916427612","1.6608856916427612","1.6608856916427612"
"2550","101","101","101","1.6740808486938477","1.6740808486938477","1.6740808486938477"
"2600","103","103","103","1.6719716787338257","1.6719716787338257","1.6719716787338257"
"2650","105","105","105","1.6644351482391357","1.6644351482391357","1.6644351482391357"
"2700","107","107","107","1.6691523790359497","1.6691523790359497","1.6691523790359497"
"2750","109","109","109","1.6625947952270508","1.6625947952270508","1.6625947952270508"
"2800","111","111","111","1.664864182472229","1.664864182472229","1.664864182472229"
"2850","113","113","113","1.6689060926437378","1.6689060926437378","1.6689060926437378"
"2900","115","115","115","1.666586995124817","1.666586995124817","1.666586995124817"
"2950","117","117","117","1.659339427947998","1.659339427947998","1.659339427947998"
"3000","119","119","119","1.6643723249435425","1.6643723249435425","1.6643723249435425"
"3050","121","121","121","1.6593104600906372","1.6593104600906372","1.6593104600906372"
"3100","123","123","123","1.6624252796173096","1.6624252796173096","1.6624252796173096"
"3150","125","125","125","1.6648253202438354","1.6648253202438354","1.6648253202438354"
