"train/global_step","./llama_qwen_results_packing - _step","./llama_qwen_results_packing - _step__MIN","./llama_qwen_results_packing - _step__MAX","./llama_qwen_results_packing - eval/loss","./llama_qwen_results_packing - eval/loss__MIN","./llama_qwen_results_packing - eval/loss__MAX"
"50","1","1","1","2.379528284072876","2.379528284072876","2.379528284072876"
"100","3","3","3","2.1637730598449707","2.1637730598449707","2.1637730598449707"
"150","5","5","5","2.113149642944336","2.113149642944336","2.113149642944336"
"200","7","7","7","2.061220169067383","2.061220169067383","2.061220169067383"
"250","9","9","9","2.003995656967163","2.003995656967163","2.003995656967163"
"300","11","11","11","1.8892148733139038","1.8892148733139038","1.8892148733139038"
"350","13","13","13","1.7510350942611694","1.7510350942611694","1.7510350942611694"
"400","15","15","15","1.7417811155319214","1.7417811155319214","1.7417811155319214"
"450","17","17","17","1.7340508699417114","1.7340508699417114","1.7340508699417114"
"500","19","19","19","1.7256311178207397","1.7256311178207397","1.7256311178207397"
"550","21","21","21","1.7281906604766846","1.7281906604766846","1.7281906604766846"
"600","23","23","23","1.7174673080444336","1.7174673080444336","1.7174673080444336"
"650","25","25","25","1.7171019315719604","1.7171019315719604","1.7171019315719604"
"700","27","27","27","1.7126069068908691","1.7126069068908691","1.7126069068908691"
"750","29","29","29","1.709903597831726","1.709903597831726","1.709903597831726"
"800","31","31","31","1.7104109525680542","1.7104109525680542","1.7104109525680542"
"850","33","33","33","1.7034119367599487","1.7034119367599487","1.7034119367599487"
"900","35","35","35","1.7086323499679565","1.7086323499679565","1.7086323499679565"
"950","37","37","37","1.707582950592041","1.707582950592041","1.707582950592041"
"1000","39","39","39","1.705276370048523","1.705276370048523","1.705276370048523"
"1050","41","41","41","1.7000688314437866","1.7000688314437866","1.7000688314437866"
"1100","43","43","43","1.7009642124176025","1.7009642124176025","1.7009642124176025"
"1150","45","45","45","1.697635293006897","1.697635293006897","1.697635293006897"
"1200","47","47","47","1.6999386548995972","1.6999386548995972","1.6999386548995972"
"1250","49","49","49","1.6957029104232788","1.6957029104232788","1.6957029104232788"
"1300","51","51","51","1.6916526556015015","1.6916526556015015","1.6916526556015015"
"1350","53","53","53","1.6890039443969727","1.6890039443969727","1.6890039443969727"
"1400","55","55","55","1.6898643970489502","1.6898643970489502","1.6898643970489502"
"1450","57","57","57","1.691630482673645","1.691630482673645","1.691630482673645"
"1500","59","59","59","1.6857731342315674","1.6857731342315674","1.6857731342315674"
"1550","61","61","61","1.6859605312347412","1.6859605312347412","1.6859605312347412"
"1600","63","63","63","1.6852843761444092","1.6852843761444092","1.6852843761444092"
"1650","65","65","65","1.6868751049041748","1.6868751049041748","1.6868751049041748"
"1700","67","67","67","1.6842572689056396","1.6842572689056396","1.6842572689056396"
"1750","69","69","69","1.683303952217102","1.683303952217102","1.683303952217102"
"1800","71","71","71","1.6838723421096802","1.6838723421096802","1.6838723421096802"
"1850","73","73","73","1.686124324798584","1.686124324798584","1.686124324798584"
"1900","75","75","75","1.683894157409668","1.683894157409668","1.683894157409668"
"1950","77","77","77","1.6825251579284668","1.6825251579284668","1.6825251579284668"
"2000","79","79","79","1.680925726890564","1.680925726890564","1.680925726890564"
"2050","81","81","81","1.6800557374954224","1.6800557374954224","1.6800557374954224"
"2100","83","83","83","1.6786507368087769","1.6786507368087769","1.6786507368087769"
"2150","85","85","85","1.6783943176269531","1.6783943176269531","1.6783943176269531"
"2200","87","87","87","1.6853289604187012","1.6853289604187012","1.6853289604187012"
"2250","89","89","89","1.6862283945083618","1.6862283945083618","1.6862283945083618"
"2300","91","91","91","1.6850690841674805","1.6850690841674805","1.6850690841674805"
"2350","93","93","93","1.6844356060028076","1.6844356060028076","1.6844356060028076"
"2400","95","95","95","1.6829203367233276","1.6829203367233276","1.6829203367233276"
"2450","97","97","97","1.6814508438110352","1.6814508438110352","1.6814508438110352"
"2500","99","99","99","1.6827250719070435","1.6827250719070435","1.6827250719070435"
"2550","101","101","101","1.6836096048355103","1.6836096048355103","1.6836096048355103"
"2600","103","103","103","1.6781997680664062","1.6781997680664062","1.6781997680664062"
"2650","105","105","105","1.6816601753234863","1.6816601753234863","1.6816601753234863"
"2700","107","107","107","1.6806690692901611","1.6806690692901611","1.6806690692901611"
"2750","109","109","109","1.6799863576889038","1.6799863576889038","1.6799863576889038"
"2800","111","111","111","1.6792412996292114","1.6792412996292114","1.6792412996292114"
"2850","113","113","113","1.6771212816238403","1.6771212816238403","1.6771212816238403"
"2900","115","115","115","1.6761629581451416","1.6761629581451416","1.6761629581451416"
"2950","117","117","117","1.6777915954589844","1.6777915954589844","1.6777915954589844"
"3000","119","119","119","1.6780565977096558","1.6780565977096558","1.6780565977096558"
"3050","121","121","121","1.6798906326293945","1.6798906326293945","1.6798906326293945"
"3100","123","123","123","1.6811130046844482","1.6811130046844482","1.6811130046844482"
"3150","125","125","125","1.6814160346984863","1.6814160346984863","1.6814160346984863"
"3200","127","127","127","1.6818841695785522","1.6818841695785522","1.6818841695785522"
"3250","129","129","129","1.6789922714233398","1.6789922714233398","1.6789922714233398"
"3300","131","131","131","1.6807358264923096","1.6807358264923096","1.6807358264923096"
"3350","133","133","133","1.6755409240722656","1.6755409240722656","1.6755409240722656"
"3400","135","135","135","1.6784048080444336","1.6784048080444336","1.6784048080444336"
"3450","137","137","137","1.6767034530639648","1.6767034530639648","1.6767034530639648"
"3500","139","139","139","1.6860123872756958","1.6860123872756958","1.6860123872756958"
"3550","141","141","141","1.6804544925689697","1.6804544925689697","1.6804544925689697"
"3600","143","143","143","1.6825366020202637","1.6825366020202637","1.6825366020202637"
"3650","145","145","145","1.6822443008422852","1.6822443008422852","1.6822443008422852"
"3700","147","147","147","1.6821846961975098","1.6821846961975098","1.6821846961975098"
"3750","149","149","149","1.682204008102417","1.682204008102417","1.682204008102417"
"3800","151","151","151","1.680883526802063","1.680883526802063","1.680883526802063"
"3850","153","153","153","1.6815581321716309","1.6815581321716309","1.6815581321716309"
"3900","155","155","155","1.678044319152832","1.678044319152832","1.678044319152832"
"3950","157","157","157","1.6812456846237183","1.6812456846237183","1.6812456846237183"
"4000","159","159","159","1.6829737424850464","1.6829737424850464","1.6829737424850464"
"4050","161","161","161","1.683160662651062","1.683160662651062","1.683160662651062"
"4100","163","163","163","1.6816133260726929","1.6816133260726929","1.6816133260726929"
"4150","165","165","165","1.6820701360702515","1.6820701360702515","1.6820701360702515"
"4200","167","167","167","1.682080864906311","1.682080864906311","1.682080864906311"
"4250","169","169","169","1.680707573890686","1.680707573890686","1.680707573890686"
"4300","171","171","171","1.6820846796035767","1.6820846796035767","1.6820846796035767"
"4350","173","173","173","1.680890440940857","1.680890440940857","1.680890440940857"
"4400","175","175","175","1.68539559841156","1.68539559841156","1.68539559841156"
"4450","177","177","177","1.6835453510284424","1.6835453510284424","1.6835453510284424"
"4500","179","179","179","1.6850624084472656","1.6850624084472656","1.6850624084472656"
"4550","181","181","181","1.6851718425750732","1.6851718425750732","1.6851718425750732"
"4600","183","183","183","1.6843684911727905","1.6843684911727905","1.6843684911727905"
"4650","185","185","185","1.685161828994751","1.685161828994751","1.685161828994751"
"4700","187","187","187","1.6824830770492554","1.6824830770492554","1.6824830770492554"
"4750","189","189","189","1.6823880672454834","1.6823880672454834","1.6823880672454834"
"4800","191","191","191","1.6859523057937622","1.6859523057937622","1.6859523057937622"
"4850","193","193","193","1.6840351819992065","1.6840351819992065","1.6840351819992065"
"4900","195","195","195","1.684295654296875","1.684295654296875","1.684295654296875"
"4950","197","197","197","1.6840150356292725","1.6840150356292725","1.6840150356292725"
"5000","199","199","199","1.6841983795166016","1.6841983795166016","1.6841983795166016"
"5050","201","201","201","1.685045599937439","1.685045599937439","1.685045599937439"
"5100","203","203","203","1.686746597290039","1.686746597290039","1.686746597290039"
"5150","205","205","205","1.6849446296691895","1.6849446296691895","1.6849446296691895"
"5200","207","207","207","1.6844253540039062","1.6844253540039062","1.6844253540039062"
"5250","209","209","209","1.6889653205871582","1.6889653205871582","1.6889653205871582"
"5300","211","211","211","1.693080186843872","1.693080186843872","1.693080186843872"
"5350","213","213","213","1.687150239944458","1.687150239944458","1.687150239944458"
"5400","215","215","215","1.689339280128479","1.689339280128479","1.689339280128479"
"5450","217","217","217","1.692270278930664","1.692270278930664","1.692270278930664"
"5500","219","219","219","1.6908749341964722","1.6908749341964722","1.6908749341964722"
"5550","221","221","221","1.6862372159957886","1.6862372159957886","1.6862372159957886"
"5600","223","223","223","1.6861518621444702","1.6861518621444702","1.6861518621444702"
"5650","225","225","225","1.6860414743423462","1.6860414743423462","1.6860414743423462"
"5700","227","227","227","1.6948261260986328","1.6948261260986328","1.6948261260986328"
"5750","229","229","229","1.6997531652450562","1.6997531652450562","1.6997531652450562"
"5800","231","231","231","1.6886625289916992","1.6886625289916992","1.6886625289916992"
"5850","233","233","233","1.6956313848495483","1.6956313848495483","1.6956313848495483"
"5900","235","235","235","1.6952811479568481","1.6952811479568481","1.6952811479568481"
"5950","237","237","237","1.687229871749878","1.687229871749878","1.687229871749878"
"6000","239","239","239","1.691796064376831","1.691796064376831","1.691796064376831"
"6050","241","241","241","1.6965948343276978","1.6965948343276978","1.6965948343276978"
"6100","243","243","243","1.6959476470947266","1.6959476470947266","1.6959476470947266"
"6150","245","245","245","1.6919598579406738","1.6919598579406738","1.6919598579406738"
"6200","247","247","247","1.6930245161056519","1.6930245161056519","1.6930245161056519"
"6250","249","249","249","1.6869864463806152","1.6869864463806152","1.6869864463806152"
"6300","251","251","251","1.6935769319534302","1.6935769319534302","1.6935769319534302"
"6350","253","253","253","1.6894640922546387","1.6894640922546387","1.6894640922546387"
"6400","255","255","255","1.6904553174972534","1.6904553174972534","1.6904553174972534"
"6450","257","257","257","1.6915795803070068","1.6915795803070068","1.6915795803070068"
"6500","259","259","259","1.6878401041030884","1.6878401041030884","1.6878401041030884"
"6550","261","261","261","1.7023842334747314","1.7023842334747314","1.7023842334747314"
"6600","263","263","263","1.6996548175811768","1.6996548175811768","1.6996548175811768"
"6650","265","265","265","1.6989752054214478","1.6989752054214478","1.6989752054214478"
"6700","267","267","267","1.698232650756836","1.698232650756836","1.698232650756836"
"6750","269","269","269","1.6953712701797485","1.6953712701797485","1.6953712701797485"
"6800","271","271","271","1.6978031396865845","1.6978031396865845","1.6978031396865845"
"6850","273","273","273","1.6965574026107788","1.6965574026107788","1.6965574026107788"
"6900","275","275","275","1.6942167282104492","1.6942167282104492","1.6942167282104492"
"6950","277","277","277","1.697656512260437","1.697656512260437","1.697656512260437"
"7000","279","279","279","1.7095705270767212","1.7095705270767212","1.7095705270767212"
"7050","281","281","281","1.7065008878707886","1.7065008878707886","1.7065008878707886"
"7100","283","283","283","1.7059859037399292","1.7059859037399292","1.7059859037399292"
"7150","285","285","285","1.7093656063079834","1.7093656063079834","1.7093656063079834"
"7200","287","287","287","1.701176643371582","1.701176643371582","1.701176643371582"
"7250","289","289","289","1.700236439704895","1.700236439704895","1.700236439704895"
"7300","291","291","291","1.7052547931671143","1.7052547931671143","1.7052547931671143"
"7350","293","293","293","1.7063558101654053","1.7063558101654053","1.7063558101654053"
"7400","295","295","295","1.7009111642837524","1.7009111642837524","1.7009111642837524"
"7450","297","297","297","1.7035905122756958","1.7035905122756958","1.7035905122756958"
"7500","299","299","299","1.6963839530944824","1.6963839530944824","1.6963839530944824"
"7550","301","301","301","1.6994667053222656","1.6994667053222656","1.6994667053222656"
"7600","303","303","303","1.698102355003357","1.698102355003357","1.698102355003357"
"7650","305","305","305","1.6992709636688232","1.6992709636688232","1.6992709636688232"
"7700","307","307","307","1.6981083154678345","1.6981083154678345","1.6981083154678345"
"7750","309","309","309","1.6998038291931152","1.6998038291931152","1.6998038291931152"
"7800","311","311","311","1.698146104812622","1.698146104812622","1.698146104812622"
"7850","313","313","313","1.7118327617645264","1.7118327617645264","1.7118327617645264"
"7900","315","315","315","1.7117514610290527","1.7117514610290527","1.7117514610290527"
"7950","317","317","317","1.7076425552368164","1.7076425552368164","1.7076425552368164"
"8000","319","319","319","1.7055859565734863","1.7055859565734863","1.7055859565734863"
"8050","321","321","321","1.703262448310852","1.703262448310852","1.703262448310852"
"8100","323","323","323","1.7068626880645752","1.7068626880645752","1.7068626880645752"
"8150","325","325","325","1.7032397985458374","1.7032397985458374","1.7032397985458374"
"8200","327","327","327","1.7055950164794922","1.7055950164794922","1.7055950164794922"
"8250","329","329","329","1.7059447765350342","1.7059447765350342","1.7059447765350342"
"8300","331","331","331","1.7211263179779053","1.7211263179779053","1.7211263179779053"
"8350","333","333","333","1.7194544076919556","1.7194544076919556","1.7194544076919556"
"8400","335","335","335","1.7150331735610962","1.7150331735610962","1.7150331735610962"
"8450","337","337","337","1.7180895805358887","1.7180895805358887","1.7180895805358887"
"8500","339","339","339","1.717432975769043","1.717432975769043","1.717432975769043"
"8550","341","341","341","1.711482048034668","1.711482048034668","1.711482048034668"
"8600","343","343","343","1.712877631187439","1.712877631187439","1.712877631187439"
"8650","345","345","345","1.7144807577133179","1.7144807577133179","1.7144807577133179"
"8700","347","347","347","1.7118771076202393","1.7118771076202393","1.7118771076202393"
"8750","349","349","349","1.7079347372055054","1.7079347372055054","1.7079347372055054"
"8800","351","351","351","1.709378719329834","1.709378719329834","1.709378719329834"
"8850","353","353","353","1.7117189168930054","1.7117189168930054","1.7117189168930054"
"8900","355","355","355","1.717137098312378","1.717137098312378","1.717137098312378"
"8950","357","357","357","1.7114757299423218","1.7114757299423218","1.7114757299423218"
"9000","359","359","359","1.7082087993621826","1.7082087993621826","1.7082087993621826"
"9050","361","361","361","1.7109225988388062","1.7109225988388062","1.7109225988388062"
"9100","363","363","363","1.7088512182235718","1.7088512182235718","1.7088512182235718"
"9150","365","365","365","1.7194938659667969","1.7194938659667969","1.7194938659667969"
"9200","367","367","367","1.7177791595458984","1.7177791595458984","1.7177791595458984"
"9250","369","369","369","1.71816086769104","1.71816086769104","1.71816086769104"
"9300","371","371","371","1.7229084968566895","1.7229084968566895","1.7229084968566895"
"9350","373","373","373","1.717379093170166","1.717379093170166","1.717379093170166"
"9400","375","375","375","1.716800570487976","1.716800570487976","1.716800570487976"
"9450","377","377","377","1.7141302824020386","1.7141302824020386","1.7141302824020386"
"9500","379","379","379","1.718299388885498","1.718299388885498","1.718299388885498"
"9550","381","381","381","1.717721700668335","1.717721700668335","1.717721700668335"
"9600","383","383","383","1.735012173652649","1.735012173652649","1.735012173652649"
"9650","385","385","385","1.7287989854812622","1.7287989854812622","1.7287989854812622"
"9700","387","387","387","1.723150372505188","1.723150372505188","1.723150372505188"
"9750","389","389","389","1.7279183864593506","1.7279183864593506","1.7279183864593506"
"9800","391","391","391","1.7268632650375366","1.7268632650375366","1.7268632650375366"
"9850","393","393","393","1.7270429134368896","1.7270429134368896","1.7270429134368896"
"9900","395","395","395","1.7287917137145996","1.7287917137145996","1.7287917137145996"
"9950","397","397","397","1.7242941856384277","1.7242941856384277","1.7242941856384277"
"10000","399","399","399","1.722815752029419","1.722815752029419","1.722815752029419"
"10050","401","401","401","1.7325090169906616","1.7325090169906616","1.7325090169906616"
"10100","403","403","403","1.7359633445739746","1.7359633445739746","1.7359633445739746"
"10150","405","405","405","1.731510877609253","1.731510877609253","1.731510877609253"
"10200","407","407","407","1.7268896102905273","1.7268896102905273","1.7268896102905273"
"10250","409","409","409","1.7244857549667358","1.7244857549667358","1.7244857549667358"
"10300","411","411","411","1.7233314514160156","1.7233314514160156","1.7233314514160156"
"10350","413","413","413","1.7224076986312866","1.7224076986312866","1.7224076986312866"
"10400","415","415","415","1.7219668626785278","1.7219668626785278","1.7219668626785278"
"10450","417","417","417","1.7278167009353638","1.7278167009353638","1.7278167009353638"
"10500","419","419","419","1.7270029783248901","1.7270029783248901","1.7270029783248901"
"10550","421","421","421","1.7326496839523315","1.7326496839523315","1.7326496839523315"
"10600","423","423","423","1.7323384284973145","1.7323384284973145","1.7323384284973145"
"10650","425","425","425","1.725320816040039","1.725320816040039","1.725320816040039"
"10700","427","427","427","1.7284096479415894","1.7284096479415894","1.7284096479415894"
"10750","429","429","429","1.7303844690322876","1.7303844690322876","1.7303844690322876"
"10800","431","431","431","1.7269185781478882","1.7269185781478882","1.7269185781478882"
"10850","433","433","433","1.7229870557785034","1.7229870557785034","1.7229870557785034"
"10900","435","435","435","1.737593412399292","1.737593412399292","1.737593412399292"
"10950","437","437","437","1.7442623376846313","1.7442623376846313","1.7442623376846313"
"11000","439","439","439","1.7439748048782349","1.7439748048782349","1.7439748048782349"
"11050","441","441","441","1.7465330362319946","1.7465330362319946","1.7465330362319946"
"11100","443","443","443","1.7385292053222656","1.7385292053222656","1.7385292053222656"
"11150","445","445","445","1.7364273071289062","1.7364273071289062","1.7364273071289062"
"11200","447","447","447","1.7343034744262695","1.7343034744262695","1.7343034744262695"
"11250","449","449","449","1.7406790256500244","1.7406790256500244","1.7406790256500244"
"11300","451","451","451","1.7390031814575195","1.7390031814575195","1.7390031814575195"
"11350","453","453","453","1.7394849061965942","1.7394849061965942","1.7394849061965942"
"11400","455","455","455","1.7452383041381836","1.7452383041381836","1.7452383041381836"
"11450","457","457","457","1.7393471002578735","1.7393471002578735","1.7393471002578735"
"11500","459","459","459","1.7483634948730469","1.7483634948730469","1.7483634948730469"
"11550","461","461","461","1.7413830757141113","1.7413830757141113","1.7413830757141113"
"11600","463","463","463","1.7482233047485352","1.7482233047485352","1.7482233047485352"
"11650","465","465","465","1.7483470439910889","1.7483470439910889","1.7483470439910889"
"11700","467","467","467","1.7402421236038208","1.7402421236038208","1.7402421236038208"
"11750","469","469","469","1.7393804788589478","1.7393804788589478","1.7393804788589478"
"11800","471","471","471","1.7470133304595947","1.7470133304595947","1.7470133304595947"
"11850","473","473","473","1.7352538108825684","1.7352538108825684","1.7352538108825684"
"11900","475","475","475","1.7402880191802979","1.7402880191802979","1.7402880191802979"
"11950","477","477","477","1.7423803806304932","1.7423803806304932","1.7423803806304932"
"12000","479","479","479","1.7348167896270752","1.7348167896270752","1.7348167896270752"
"12050","481","481","481","1.7355738878250122","1.7355738878250122","1.7355738878250122"
"12100","483","483","483","1.7399870157241821","1.7399870157241821","1.7399870157241821"
"12150","485","485","485","1.738890290260315","1.738890290260315","1.738890290260315"
"12200","487","487","487","1.7556301355361938","1.7556301355361938","1.7556301355361938"
"12250","489","489","489","1.7464412450790405","1.7464412450790405","1.7464412450790405"
"12300","491","491","491","1.7516247034072876","1.7516247034072876","1.7516247034072876"
"12350","493","493","493","1.7480671405792236","1.7480671405792236","1.7480671405792236"
"12400","495","495","495","1.7498146295547485","1.7498146295547485","1.7498146295547485"
"12450","497","497","497","1.7551459074020386","1.7551459074020386","1.7551459074020386"
"12500","499","499","499","1.751947283744812","1.751947283744812","1.751947283744812"
"12550","501","501","501","1.7489521503448486","1.7489521503448486","1.7489521503448486"
"12600","503","503","503","1.7701420783996582","1.7701420783996582","1.7701420783996582"
"12650","505","505","505","1.773682951927185","1.773682951927185","1.773682951927185"
"12700","507","507","507","1.759175181388855","1.759175181388855","1.759175181388855"
"12750","509","509","509","1.757848858833313","1.757848858833313","1.757848858833313"
"12800","511","511","511","1.7706313133239746","1.7706313133239746","1.7706313133239746"
"12850","513","513","513","1.7577944993972778","1.7577944993972778","1.7577944993972778"
"12900","515","515","515","1.7569390535354614","1.7569390535354614","1.7569390535354614"
"12950","517","517","517","1.7608988285064697","1.7608988285064697","1.7608988285064697"
"13000","519","519","519","1.7657653093338013","1.7657653093338013","1.7657653093338013"
"13050","521","521","521","1.7544699907302856","1.7544699907302856","1.7544699907302856"
"13100","523","523","523","1.7663335800170898","1.7663335800170898","1.7663335800170898"
"13150","525","525","525","1.7494120597839355","1.7494120597839355","1.7494120597839355"
"13200","527","527","527","1.752586841583252","1.752586841583252","1.752586841583252"
"13250","529","529","529","1.7540026903152466","1.7540026903152466","1.7540026903152466"
"13300","531","531","531","1.7464511394500732","1.7464511394500732","1.7464511394500732"
"13350","533","533","533","1.752017617225647","1.752017617225647","1.752017617225647"
"13400","535","535","535","1.7502248287200928","1.7502248287200928","1.7502248287200928"
"13450","537","537","537","1.7489155530929565","1.7489155530929565","1.7489155530929565"
"13500","539","539","539","1.7644280195236206","1.7644280195236206","1.7644280195236206"
"13550","541","541","541","1.7588964700698853","1.7588964700698853","1.7588964700698853"
"13600","543","543","543","1.7664620876312256","1.7664620876312256","1.7664620876312256"
"13650","545","545","545","1.7695658206939697","1.7695658206939697","1.7695658206939697"
"13700","547","547","547","1.7671540975570679","1.7671540975570679","1.7671540975570679"
"13750","549","549","549","1.7654114961624146","1.7654114961624146","1.7654114961624146"
"13800","551","551","551","1.7709167003631592","1.7709167003631592","1.7709167003631592"
"13850","553","553","553","1.7540897130966187","1.7540897130966187","1.7540897130966187"
"13900","555","555","555","1.7821024656295776","1.7821024656295776","1.7821024656295776"
"13950","557","557","557","1.7921383380889893","1.7921383380889893","1.7921383380889893"
"14000","559","559","559","1.799519419670105","1.799519419670105","1.799519419670105"
"14050","561","561","561","1.7752593755722046","1.7752593755722046","1.7752593755722046"
"14100","563","563","563","1.7942135334014893","1.7942135334014893","1.7942135334014893"
"14150","565","565","565","1.7773886919021606","1.7773886919021606","1.7773886919021606"
"14200","567","567","567","1.7800456285476685","1.7800456285476685","1.7800456285476685"
"14250","569","569","569","1.7741097211837769","1.7741097211837769","1.7741097211837769"
"14300","571","571","571","1.7889108657836914","1.7889108657836914","1.7889108657836914"
"14350","573","573","573","1.7757995128631592","1.7757995128631592","1.7757995128631592"
"14400","575","575","575","1.7703921794891357","1.7703921794891357","1.7703921794891357"
"14450","577","577","577","1.7722316980361938","1.7722316980361938","1.7722316980361938"
"14500","579","579","579","1.7647777795791626","1.7647777795791626","1.7647777795791626"
"14550","581","581","581","1.7808853387832642","1.7808853387832642","1.7808853387832642"
"14600","583","583","583","1.763670563697815","1.763670563697815","1.763670563697815"
"14650","585","585","585","1.7629820108413696","1.7629820108413696","1.7629820108413696"
"14700","587","587","587","1.7622343301773071","1.7622343301773071","1.7622343301773071"
"14750","589","589","589","1.768014907836914","1.768014907836914","1.768014907836914"
"14800","591","591","591","1.7963206768035889","1.7963206768035889","1.7963206768035889"
"14850","593","593","593","1.7861807346343994","1.7861807346343994","1.7861807346343994"
"14900","595","595","595","1.78602135181427","1.78602135181427","1.78602135181427"
"14950","597","597","597","1.7870855331420898","1.7870855331420898","1.7870855331420898"
"15000","599","599","599","1.7706196308135986","1.7706196308135986","1.7706196308135986"
"15050","601","601","601","1.7689393758773804","1.7689393758773804","1.7689393758773804"
"15100","603","603","603","1.7788671255111694","1.7788671255111694","1.7788671255111694"
"15150","605","605","605","1.7747273445129395","1.7747273445129395","1.7747273445129395"
"15200","607","607","607","1.7843157052993774","1.7843157052993774","1.7843157052993774"
"15250","609","609","609","1.8011329174041748","1.8011329174041748","1.8011329174041748"
"15300","611","611","611","1.8086333274841309","1.8086333274841309","1.8086333274841309"
"15350","613","613","613","1.8009252548217773","1.8009252548217773","1.8009252548217773"
"15400","615","615","615","1.809462308883667","1.809462308883667","1.809462308883667"
"15450","617","617","617","1.809382438659668","1.809382438659668","1.809382438659668"
"15500","619","619","619","1.802782416343689","1.802782416343689","1.802782416343689"
"15550","621","621","621","1.7940601110458374","1.7940601110458374","1.7940601110458374"
"15600","623","623","623","1.8070039749145508","1.8070039749145508","1.8070039749145508"
"15650","625","625","625","1.8022173643112183","1.8022173643112183","1.8022173643112183"
"15700","627","627","627","1.794919490814209","1.794919490814209","1.794919490814209"
"15750","629","629","629","1.7934072017669678","1.7934072017669678","1.7934072017669678"
"15800","631","631","631","1.7892076969146729","1.7892076969146729","1.7892076969146729"
"15850","633","633","633","1.789554476737976","1.789554476737976","1.789554476737976"
"15900","635","635","635","1.783216118812561","1.783216118812561","1.783216118812561"
"15950","637","637","637","1.779618501663208","1.779618501663208","1.779618501663208"
"16000","639","639","639","1.7712377309799194","1.7712377309799194","1.7712377309799194"
"16050","641","641","641","1.7767887115478516","1.7767887115478516","1.7767887115478516"
"16100","643","643","643","1.7851396799087524","1.7851396799087524","1.7851396799087524"
"16150","645","645","645","1.7973259687423706","1.7973259687423706","1.7973259687423706"
"16200","647","647","647","1.7931780815124512","1.7931780815124512","1.7931780815124512"
"16250","649","649","649","1.8025373220443726","1.8025373220443726","1.8025373220443726"
"16300","651","651","651","1.8053456544876099","1.8053456544876099","1.8053456544876099"
"16350","653","653","653","1.8001458644866943","1.8001458644866943","1.8001458644866943"
"16400","655","655","655","1.7923616170883179","1.7923616170883179","1.7923616170883179"
"16450","657","657","657","1.7773985862731934","1.7773985862731934","1.7773985862731934"
"16500","659","659","659","1.7849509716033936","1.7849509716033936","1.7849509716033936"
"16550","661","661","661","1.8330601453781128","1.8330601453781128","1.8330601453781128"
"16600","663","663","663","1.812498688697815","1.812498688697815","1.812498688697815"
"16650","665","665","665","1.8218616247177124","1.8218616247177124","1.8218616247177124"
"16700","667","667","667","1.8085905313491821","1.8085905313491821","1.8085905313491821"
"16750","669","669","669","1.8036562204360962","1.8036562204360962","1.8036562204360962"
"16800","671","671","671","1.8076221942901611","1.8076221942901611","1.8076221942901611"
"16850","673","673","673","1.8123618364334106","1.8123618364334106","1.8123618364334106"
"16900","675","675","675","1.8029096126556396","1.8029096126556396","1.8029096126556396"
"16950","677","677","677","1.8165795803070068","1.8165795803070068","1.8165795803070068"
"17000","679","679","679","1.803506851196289","1.803506851196289","1.803506851196289"
"17050","681","681","681","1.8105051517486572","1.8105051517486572","1.8105051517486572"
"17100","683","683","683","1.8005156517028809","1.8005156517028809","1.8005156517028809"
"17150","685","685","685","1.8113740682601929","1.8113740682601929","1.8113740682601929"
"17200","687","687","687","1.8182638883590698","1.8182638883590698","1.8182638883590698"
"17250","689","689","689","1.802404522895813","1.802404522895813","1.802404522895813"
"17300","691","691","691","1.8061703443527222","1.8061703443527222","1.8061703443527222"
"17350","693","693","693","1.7949128150939941","1.7949128150939941","1.7949128150939941"
"17400","695","695","695","1.8134862184524536","1.8134862184524536","1.8134862184524536"
"17450","697","697","697","1.8189892768859863","1.8189892768859863","1.8189892768859863"
"17500","699","699","699","1.8086624145507812","1.8086624145507812","1.8086624145507812"
