"train/global_step","./results_packing - _step","./results_packing - _step__MIN","./results_packing - _step__MAX","./results_packing - eval/loss","./results_packing - eval/loss__MIN","./results_packing - eval/loss__MAX"
"50","1","1","1","2.6947102546691895","2.6947102546691895","2.6947102546691895"
"100","3","3","3","2.5406370162963867","2.5406370162963867","2.5406370162963867"
"150","5","5","5","2.331538438796997","2.331538438796997","2.331538438796997"
"200","7","7","7","2.0680532455444336","2.0680532455444336","2.0680532455444336"
"250","9","9","9","1.9610342979431152","1.9610342979431152","1.9610342979431152"
"300","11","11","11","1.919900894165039","1.919900894165039","1.919900894165039"
"350","13","13","13","1.8775436878204346","1.8775436878204346","1.8775436878204346"
"400","15","15","15","1.8480713367462158","1.8480713367462158","1.8480713367462158"
"450","17","17","17","1.8097407817840576","1.8097407817840576","1.8097407817840576"
"500","19","19","19","1.78497314453125","1.78497314453125","1.78497314453125"
"550","21","21","21","1.7644990682601929","1.7644990682601929","1.7644990682601929"
"600","23","23","23","1.763643741607666","1.763643741607666","1.763643741607666"
"650","25","25","25","1.7597763538360596","1.7597763538360596","1.7597763538360596"
"700","27","27","27","1.7636500597000122","1.7636500597000122","1.7636500597000122"
"750","29","29","29","1.7564054727554321","1.7564054727554321","1.7564054727554321"
"800","31","31","31","1.7533841133117676","1.7533841133117676","1.7533841133117676"
"850","33","33","33","1.7523661851882935","1.7523661851882935","1.7523661851882935"
"900","35","35","35","1.7520610094070435","1.7520610094070435","1.7520610094070435"
"950","37","37","37","1.7537596225738525","1.7537596225738525","1.7537596225738525"
"1000","39","39","39","1.7487962245941162","1.7487962245941162","1.7487962245941162"
"1050","41","41","41","1.7476449012756348","1.7476449012756348","1.7476449012756348"
"1100","43","43","43","1.746733546257019","1.746733546257019","1.746733546257019"
"1150","45","45","45","1.7411426305770874","1.7411426305770874","1.7411426305770874"
"1200","47","47","47","1.7433199882507324","1.7433199882507324","1.7433199882507324"
"1250","49","49","49","1.7410610914230347","1.7410610914230347","1.7410610914230347"
"1300","51","51","51","1.7438757419586182","1.7438757419586182","1.7438757419586182"
"1350","53","53","53","1.7444372177124023","1.7444372177124023","1.7444372177124023"
"1400","55","55","55","1.7451863288879395","1.7451863288879395","1.7451863288879395"
"1450","57","57","57","1.749472975730896","1.749472975730896","1.749472975730896"
"1500","59","59","59","1.7373168468475342","1.7373168468475342","1.7373168468475342"
"1550","61","61","61","1.7388359308242798","1.7388359308242798","1.7388359308242798"
"1600","63","63","63","1.7439603805541992","1.7439603805541992","1.7439603805541992"
"1650","65","65","65","1.7415721416473389","1.7415721416473389","1.7415721416473389"
"1700","67","67","67","1.7388393878936768","1.7388393878936768","1.7388393878936768"
"1750","69","69","69","1.7406084537506104","1.7406084537506104","1.7406084537506104"
"1800","71","71","71","1.7443548440933228","1.7443548440933228","1.7443548440933228"
"1850","73","73","73","1.7488083839416504","1.7488083839416504","1.7488083839416504"
"1900","75","75","75","1.7411445379257202","1.7411445379257202","1.7411445379257202"
"1950","77","77","77","1.7408809661865234","1.7408809661865234","1.7408809661865234"
"2000","79","79","79","1.741824984550476","1.741824984550476","1.741824984550476"
"2050","81","81","81","1.736302375793457","1.736302375793457","1.736302375793457"
"2100","83","83","83","1.7388755083084106","1.7388755083084106","1.7388755083084106"
"2150","85","85","85","1.7345517873764038","1.7345517873764038","1.7345517873764038"
"2200","87","87","87","1.740465521812439","1.740465521812439","1.740465521812439"
"2250","89","89","89","1.7435059547424316","1.7435059547424316","1.7435059547424316"
"2300","91","91","91","1.7424744367599487","1.7424744367599487","1.7424744367599487"
"2350","93","93","93","1.7425928115844727","1.7425928115844727","1.7425928115844727"
"2400","95","95","95","1.7403115034103394","1.7403115034103394","1.7403115034103394"
"2450","97","97","97","1.7416768074035645","1.7416768074035645","1.7416768074035645"
"2500","99","99","99","1.7436599731445312","1.7436599731445312","1.7436599731445312"
"2550","101","101","101","1.739803671836853","1.739803671836853","1.739803671836853"
"2600","103","103","103","1.7383311986923218","1.7383311986923218","1.7383311986923218"
"2650","105","105","105","1.7495338916778564","1.7495338916778564","1.7495338916778564"
"2700","107","107","107","1.7493349313735962","1.7493349313735962","1.7493349313735962"
"2750","109","109","109","1.7466857433319092","1.7466857433319092","1.7466857433319092"
"2800","111","111","111","1.7461096048355103","1.7461096048355103","1.7461096048355103"
"2850","113","113","113","1.748439073562622","1.748439073562622","1.748439073562622"
"2900","115","115","115","1.7416062355041504","1.7416062355041504","1.7416062355041504"
"2950","117","117","117","1.743181586265564","1.743181586265564","1.743181586265564"
"3000","119","119","119","1.746830940246582","1.746830940246582","1.746830940246582"
"3050","121","121","121","1.7517045736312866","1.7517045736312866","1.7517045736312866"
"3100","123","123","123","1.7745739221572876","1.7745739221572876","1.7745739221572876"
"3150","125","125","125","1.7636462450027466","1.7636462450027466","1.7636462450027466"
"3200","127","127","127","1.7658710479736328","1.7658710479736328","1.7658710479736328"
"3250","129","129","129","1.7610695362091064","1.7610695362091064","1.7610695362091064"
"3300","131","131","131","1.757796049118042","1.757796049118042","1.757796049118042"
"3350","133","133","133","1.757176160812378","1.757176160812378","1.757176160812378"
"3400","135","135","135","1.7609285116195679","1.7609285116195679","1.7609285116195679"
"3450","137","137","137","1.7554160356521606","1.7554160356521606","1.7554160356521606"
"3500","139","139","139","1.7648024559020996","1.7648024559020996","1.7648024559020996"
"3550","141","141","141","1.7632722854614258","1.7632722854614258","1.7632722854614258"
"3600","143","143","143","1.76370108127594","1.76370108127594","1.76370108127594"
"3650","145","145","145","1.759382963180542","1.759382963180542","1.759382963180542"
"3700","147","147","147","1.75577712059021","1.75577712059021","1.75577712059021"
"3750","149","149","149","1.7614359855651855","1.7614359855651855","1.7614359855651855"
"3800","151","151","151","1.7615296840667725","1.7615296840667725","1.7615296840667725"
"3850","153","153","153","1.7593203783035278","1.7593203783035278","1.7593203783035278"
"3900","155","155","155","1.758188009262085","1.758188009262085","1.758188009262085"
"3950","157","157","157","1.7678465843200684","1.7678465843200684","1.7678465843200684"
"4000","159","159","159","1.7805087566375732","1.7805087566375732","1.7805087566375732"
"4050","161","161","161","1.7722965478897095","1.7722965478897095","1.7722965478897095"
"4100","163","163","163","1.769726037979126","1.769726037979126","1.769726037979126"
"4150","165","165","165","1.7714803218841553","1.7714803218841553","1.7714803218841553"
"4200","167","167","167","1.7752134799957275","1.7752134799957275","1.7752134799957275"
"4250","169","169","169","1.7690140008926392","1.7690140008926392","1.7690140008926392"
"4300","171","171","171","1.7751352787017822","1.7751352787017822","1.7751352787017822"
"4350","173","173","173","1.7780160903930664","1.7780160903930664","1.7780160903930664"
"4400","175","175","175","1.7976824045181274","1.7976824045181274","1.7976824045181274"
"4450","177","177","177","1.8071056604385376","1.8071056604385376","1.8071056604385376"
"4500","179","179","179","1.8046423196792603","1.8046423196792603","1.8046423196792603"
"4550","181","181","181","1.7980302572250366","1.7980302572250366","1.7980302572250366"
"4600","183","183","183","1.7979633808135986","1.7979633808135986","1.7979633808135986"
"4650","185","185","185","1.7875510454177856","1.7875510454177856","1.7875510454177856"
"4700","187","187","187","1.7819393873214722","1.7819393873214722","1.7819393873214722"
"4750","189","189","189","1.8001936674118042","1.8001936674118042","1.8001936674118042"
"4800","191","191","191","1.7964069843292236","1.7964069843292236","1.7964069843292236"
"4850","193","193","193","1.7902231216430664","1.7902231216430664","1.7902231216430664"
"4900","195","195","195","1.7889249324798584","1.7889249324798584","1.7889249324798584"
"4950","197","197","197","1.7902462482452393","1.7902462482452393","1.7902462482452393"
"5000","199","199","199","1.7918322086334229","1.7918322086334229","1.7918322086334229"
"5050","201","201","201","1.7930883169174194","1.7930883169174194","1.7930883169174194"
"5100","203","203","203","1.7876472473144531","1.7876472473144531","1.7876472473144531"
"5150","205","205","205","1.7907114028930664","1.7907114028930664","1.7907114028930664"
"5200","207","207","207","1.7870837450027466","1.7870837450027466","1.7870837450027466"
"5250","209","209","209","1.8022539615631104","1.8022539615631104","1.8022539615631104"
"5300","211","211","211","1.8145935535430908","1.8145935535430908","1.8145935535430908"
"5350","213","213","213","1.8150830268859863","1.8150830268859863","1.8150830268859863"
"5400","215","215","215","1.8097048997879028","1.8097048997879028","1.8097048997879028"
"5450","217","217","217","1.8067553043365479","1.8067553043365479","1.8067553043365479"
"5500","219","219","219","1.8020620346069336","1.8020620346069336","1.8020620346069336"
